Ship To	Currency	Item Number	Quantity Order	Tr. UoM	Description 2	Harga	Pu. UoM	Ln Ty	Tax Y/N	Expl Code	Tax Rate/Area	PO Number	No Surat Jalan	Receipt Date	Receipt Document	TOTAL AMOUNT	STATUS PROSES BY RPA	INPUT DATE
1205		SHIRTEIGSHIRT     /M	1	PC		46350		J		1205.630600		24001084	1820	11/2/2024	24005814	46350	DIAJUKAN	12/20/2024 2:07:53 PM
1201		BLSONMCUBLOUSON   /M	1	PC		66750		J		1201.630600		24001106	1810	11/6/2024	24005292	66750	DIAJUKAN	12/20/2024 2:07:53 PM
1201		BLSONMCUBLOUSON   /M	1	PC		66000		J		1201.630600		24001106	1810	11/6/2024	24005292	66000	DIAJUKAN	12/20/2024 2:07:53 PM
1205		SHIRTEIGSHIRT     /M	162	PC		49200		J		1205.630600		24001084	1811	11/7/2024	24005814	7970400	DIAJUKAN	12/20/2024 2:07:53 PM
1205		SHIRTEIGSHIRT     /M	615	PC		49200		J		1205.630600		24001084	1811	11/7/2024	24005814	30258000	DIAJUKAN	12/20/2024 2:07:53 PM
1205		SHIRTEIGSHIRT     /M	39	PC		46350		J		1205.630600		24001084	1812	11/7/2024	24005814	1807650	DIAJUKAN	12/20/2024 2:07:53 PM
1205		SHIRTEIGSHIRT     /M	408	PC		46350		J		1205.630600		24001084	1812	11/7/2024	24005814	18910800	DIAJUKAN	12/20/2024 2:07:53 PM
1205		JCT  EIGJACKET    /M	8	PC		49350		J		1205.630600		24001084	1813	11/7/2024	24005814	394800	DIAJUKAN	12/20/2024 2:07:53 PM
1205		JCT  EIGJACKET    /M	5	PC		49350		J		1205.630600		24001084	1813	11/7/2024	24005814	246750	DIAJUKAN	12/20/2024 2:07:53 PM
1205		SHIRTEIGSHIRT     /M	35	PC		64650		J		1205.630600		24001084	1814	11/7/2024	24005814	2262750	DIAJUKAN	12/20/2024 2:07:53 PM
1205		SHIRTEIGSHIRT     /M	149	PC		64650		J		1205.630600		24001084	1814	11/7/2024	24005814	9632850	DIAJUKAN	12/20/2024 2:07:53 PM
1201		SCRUBMCUPANT SCRUB/M	1480	PC		22350		J		1201.630600		24001080	1822	11/20/2024	24005282	33078000	DIAJUKAN	12/20/2024 2:07:53 PM
1201		SCRUBMCUPANT SCRUB/M	410	PC		22350		J		1201.630600		24001080	1823	11/20/2024	24005282	9163500	DIAJUKAN	12/20/2024 2:07:53 PM
1201		SCRUBMCUPANT SCRUB/M	1740	PC		22350		J		1201.630600		24001080	1824	11/20/2024	24005282	38889000	DIAJUKAN	12/20/2024 2:07:53 PM
1201		SCRUBMCUTOP SCRUB /M	2290	PC		23100		J		1201.630600		24001080	1825	11/23/2024	24005282	52899000	DIAJUKAN	12/20/2024 2:07:53 PM
1201		BLSONMIXBLOUSON   /M	1	PC		52500		J		1201.630600		24001095	1821	11/13/2024	24005289	52500	DIAJUKAN	12/20/2024 2:07:53 PM
1201		SCRUBMCUPANT SCRUB/M	31	PC		22350		J		1201.630600		24001080	1826	11/25/2024	24005282	692850	DIAJUKAN	12/20/2024 2:07:53 PM
1201		SCRUBMCUPANT SCRUB/M	12	PC		22350		J		1201.630600		24001080	1827	11/25/2024	24005282	268200	DIAJUKAN	12/20/2024 2:07:53 PM


Ship To	Currency	Item Number	Quantity Order	Tr. UoM	Description 2	Harga	Pu. UoM	Ln Ty	Tax Y/N	Expl Code	Tax Rate/Area	PO Number	No Surat Jalan	Receipt Date	Receipt Document	TOTAL AMOUNT	STATUS PROSES BY RPA	INPUT DATE
1204		SPANTMATSPANT MIY /M	346	PC		44400		J		1204.630600		23001040	457	11/30/2024	24007380	15362400	DIAJUKAN	12/21/2024 9:33:17 AM
1204		TSHRTMATTSHIRT MIY/M	419	PC		17400		J		1204.630600		23001040	467	11/5/2024	24007380	7290600	DIAJUKAN	12/21/2024 9:33:17 AM


Ship To	Currency	Item Number	Quantity Order	Tr. UoM	Description 2	Harga	Pu. UoM	Ln Ty	Tax Y/N	Expl Code	Tax Rate/Area	PO Number	No Surat Jalan	Receipt Date	Receipt Document	TOTAL AMOUNT	STATUS PROSES BY RPA	INPUT DATE
1204		SPANTMATSPANT MIY /M	346	PC		44400		J		1204.630600		23001040	457	11/30/2024	24007380	15362400	DIAJUKAN	12/21/2024 9:38:32 AM
1204		TSHRTMATTSHIRT MIY/M	419	PC		17400		J		1204.630600		23001040	467	11/5/2024	24007380	7290600	DIAJUKAN	12/21/2024 9:38:32 AM
1204		JCT  MATJACKET    /M	100	PC		60000		J		1204.630600		23001036	458	11/30/2024	24007378	6000000	DIAJUKAN	12/21/2024 9:38:32 AM
1204		PANTSMATPANT MIY  /M	813	PC		54000		J		1204.630600		23001069	479	11/8/2024	24007379	43902000	DIAJUKAN	12/21/2024 9:38:32 AM
1204		PANTSMATPANT MIY  /M	617	PC		54000		J		1204.630600		23001069	481	11/8/2024	24007379	33318000	DIAJUKAN	12/21/2024 9:38:32 AM
1204		JCT  MATJACKET    /M	192	PC		60000		J		1204.630600		23001069	480	11/8/2024	24007379	11520000	DIAJUKAN	12/21/2024 9:38:32 AM

